x	y	point	species
782055.6703	7407357.545	AG114	Syagrus romanzoffiana
782055.6703	7407357.545	AG114	Syagrus romanzoffiana
782055.6703	7407357.545	AG114	Syagrus romanzoffiana
782055.6703	7407357.545	AG114	Syagrus romanzoffiana
782055.6703	7407357.545	AG114	Syagrus romanzoffiana
782055.6703	7407357.545	AG114	Syagrus romanzoffiana
782029.6752	7407347.629		
782062.7325	7407357.437		
782073.8276	7407368.252		
782088.1615	7407389.707		
782103.492	7407383.978		
782120.0155	7407395.767	AG173	Syagrus romanzoffiana
782114.7701	7407396.731		
782113.7958	7407419.26		
782118.5084	7407414.199		
782129.5299	7407454.27		
782162.8578	7407446.422		
782160.1795	7407439.979		
782184.1781	7407443.672		
782162.7122	7407439.717		
782177.6341	7407444.875		
782189.0495	7407435.719		
782172.2436	7407431.117	AG174	Syagrus romanzoffiana
782151.157	7407431.299		
782144.7726	7407439.485		
782148.4094	7407443.605		
782152.3851	7407442.59		
782172.2436	7407431.117	AG174	Syagrus romanzoffiana
782172.2436	7407431.117	AG174	Syagrus romanzoffiana
782172.2436	7407431.117	AG174	Syagrus romanzoffiana
782148.8293	7407435.988		
782139.1665	7407446.681		
782143.0233	7407449.756		
782140.5476	7407444.936		
782110.6706	7407452.569		
782077.0682	7407455.489		
782063.002	7407464.565		
782060.2742	7407460.01		
782049.9265	7407452.859	AG175	Syagrus romanzoffiana
782049.9265	7407452.859	AG175	Syagrus romanzoffiana
782049.9265	7407452.859	AG175	Syagrus romanzoffiana
782048.1673	7407491.698		
782010.9625	7407506.615		
781993.4666	7407533.575		
781956.7214	7407529.978		
781959.7161	7407548.018		
781978.3709	7407572.604	AG176	Syagrus romanzoffiana
781981.0292	7407575.322		
781930.8031	7407594.362		
781924.1762	7407616.311	AG177	Syagrus romanzoffiana
781924.1762	7407616.311	AG177	Syagrus romanzoffiana
781920.6978	7407649.116		
781862.2731	7407638.037		
781856.3801	7407639.218		
781862.452	7407709.177		
781889.4408	7407733.353		
781934.6267	7407794.471		
781919.1131	7407840.354		
781970.579	7407892.285	AG152	Celtis iguanaea
781970.579	7407892.285	AG152	Celtis iguanaea
781970.579	7407892.285	AG152	Celtis iguanaea
781970.579	7407892.285	AG152	Celtis iguanaea
781970.579	7407892.285	AG152	Celtis iguanaea
781969.8024	7407899.62	DG03	
781969.8024	7407899.62	DG03	
781969.8024	7407899.62		
781946.3943	7407917.394		
781941.7731	7407915.597		
781948.3848	7407919.707		
781946.2875	7407922.562		
781942.8682	7407919.06		
781920.7161	7407933.475		
781911.8849	7407908.821	AG23	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781897.1885	7407900.23	AG65	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.6133	7407918.506		
781852.2924	7407951.442		
781849.6684	7407955.896	AG178	Celtis iguanaea
781849.6684	7407955.896	AG178	Celtis iguanaea
781849.6684	7407955.896	AG178	Celtis iguanaea
781849.6684	7407955.896	AG178	Celtis iguanaea
781849.6684	7407955.896	AG178	Celtis iguanaea
781867.5986	7407946.575	AG106	Celtis iguanaea
781867.5986	7407946.575	AG106	Celtis iguanaea
781870.9602	7407951.168	AG179	Celtis iguanaea
781870.9602	7407951.168	AG179	Celtis iguanaea
781873.3904	7407951.372		
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781883.9827	7407995.474	AG157	Celtis iguanaea
781875.4498	7407998.043		
781892.5332	7408011.735		
781885.903	7408016.962		
781894.8652	7408037.712		
781894.8411	7408049.436		
781898.5355	7408051.186		
781901.2681	7408052.407		
781885.6599	7408049.491		
781879.5956	7408065.02		
781882.2072	7408074.25		
781866.2493	7408095.616		
781867.1465	7408108.447		
781864.9355	7408121.932		
781845.9366	7408137.169		
781844.5548	7408137.54	AG180	Cissus sulcicaulis
781842.5148	7408138.015		
781851.1057	7408141.158		
781804.699	7408133.648		
781776.0594	7408157.189		
781737.9443	7408199.017		
781727.2629	7408199.984		
781685.1165	7408200.056		
781687.5973	7408203.799		
781685.6283	7408199.916		
781662.3289	7408199.21		
781658.2965	7408180.688		
781651.3155	7408172.507		
781634.0792	7408155.297		
781622.7781	7408142.684		
781621.0345	7408120.551		
781625.4258	7408119.743		
781615.4913	7408103.276		
781614.1156	7408098.137		
781615.0452	7408070.537		
781621.5881	7408058.948		
781604.7959	7408055.089		
781607.1332	7408029.812	AG181	Pereskia aculeata
781607.1332	7408029.812	AG181	Pereskia aculeata
781614.9273	7408024.479		
781628.1109	7408016.73		
781644.7208	7408015.994		
781648.1174	7408031.76		
781655.1236	7408018.852		
781688.8252	7408041.218		
781683.162	7408056.655		
781705.8642	7408057.531		
781701.1359	7408077.92		
781707.4021	7408081.897		
781713.2315	7408089.933		
781711.5722	7408087.001		
781701.4706	7408083.311		
781692.8946	7408098.869		
781675.4572	7408130.751		
781654.2586	7408124.226		
781654.2586	7408124.226	DG12	
781654.2586	7408124.226	DG12	
781651.1712	7408127.314		
781647.3558	7408118.339		
781653.532	7408110.445		
781668.9558	7408091.17		
781664.6838	7408091.047		
781664.5572	7408071.429		
781655.512	7408040.945		
781628.8876	7407992.793		
781625.7457	7407978.24		
781643.5103	7407975.123		
781612.5034	7407951.088		
781624.181	7407943.498		
781644.8465	7407951.751		
781642.6317	7407947.121		
781641.1858	7407934.282		
781648.5785	7407939.794	AG182	Pereskia aculeata
781648.5785	7407939.794	AG182	Pereskia aculeata
781648.5785	7407939.794	AG182	Pereskia aculeata
781641.8058	7407928.148		
781637.3973	7407921.33		
781653.5773	7407918.744		
781639.1988	7407917.356		
781643.0166	7407875.813		
781677.7941	7407802.518		
781715.1774	7407808.073		
781682.3582	7407834.946		
781682.0865	7407829.256		
781694.972	7407779.057		
781706.0149	7407747.269		
781717.976	7407668.037		
781711.5824	7407613.934		
781745.678	7407621.986		
781745.8164	7407621.603		
781741.4269	7407619.81		
781715.8062	7407652.314		
781700.2164	7407669.604		
781682.8792	7407671.738		
781672.7593	7407700.238		
781635.3466	7407681.027	AG183	Syagrus romanzoffiana
781635.3466	7407681.027	AG183	Syagrus romanzoffiana
781635.3466	7407681.027	AG183	Syagrus romanzoffiana
781635.3466	7407681.027	AG183	Syagrus romanzoffiana
781645.6159	7407683.19		
781645.6623	7407695.024		
781631.6806	7407708.094		
781637.8458	7407713.076		
781684.4079	7407745.36		
781691.5152	7407755.22		
781727.5932	7407755.291	AG184	Syagrus romanzoffiana
781727.5932	7407755.291	AG184	Syagrus romanzoffiana
781750.8184	7407787.994	AG185	Syagrus romanzoffiana
781730.0919	7407752.354		
781751.4799	7407794.335		
781761.2834	7407815.608		
781791.6945	7407835.835		
781768.2229	7407844.023		
781828.1057	7407874.352		
781863.4728	7407902.214	AG186	Celtis iguanaea
781863.4728	7407902.214	AG186	Celtis iguanaea
781863.4728	7407902.214	AG186	Celtis iguanaea
781863.4728	7407902.214	AG186	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781863.5356	7407921.164	AG77	Celtis iguanaea
781866.89	7407936.057	AG187	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781725.0813	7407917.933	AG106	Celtis iguanaea
781856.6616	7407952.167		
781859.7471	7407948.085		
781852.2327	7407956.385		
781847.9807	7407955.51		
781851.5523	7407954.429		
781832.9159	7407961.716		
781825.8417	7407952.701		
781826.6047	7407957.628		
781823.3552	7407961.648		
781821.8738	7407967.566		
781817.3474	7407959.078		
781806.6149	7407940.787		
781814.6391	7407929.114		
781803.891	7407944.5		
781771.9536	7407953.844		
781758.0282	7407952.837		
781761.8493	7407957.177		
781745.8352	7407956.341		
781748.7749	7407961.663		
781734.2891	7407963.631		
781654.2586	7408124.226	DG13	
781969.8024	7407899.62	DG03	
781969.8024	7407899.62		
781961.0044	7407860.139		
781982.2805	7407846.549		
781993.2029	7407849.229		
782012.8601	7407851.825		
782008.8098	7407853.426	AG194	
782015.5778	7407837.949		
782015.4036	7407821.695		
782053.4315	7407794.202		
782048.0957	7407796.274		
782030.299	7407790.093		
781998.731	7407741.711		
781974.3665	7407682.229		
781940.7229	7407667.805		
781912.9338	7407590.645		
781991.8644	7407581.515		
782001.3581	7407571.383	AG117	Syagrus romanzoffiana
782001.3581	7407571.383	AG117	Syagrus romanzoffiana
781986.0339	7407551.044		
782015.0211	7407484.873		
782025.6049	7407464.52		
782027.7428	7407442.759	AG171	Pereskia aculeata
782041.5264	7407439.968		
782004.976	7407410.726		
782004.2262	7407415.887		
782017.3252	7407427.035		
781995.9004	7407418.063		
781996.6852	7407413.83		
781993.731	7407422.517		
782000.0835	7407433.246		
782000.1084	7407432.307		
